country,category,brand_name,wikidata_id,opening_rule,opening_hours,description,source_url,opening_hours_url
DE,bank,Sparkasse Leipzig,Q2307533,partial,,,https://www.sparkasse-leipzig.de/de/home/aktionen/informationen-zum-coronavirus.html,https://www.sparkasse-leipzig.de/de/home/service/filiale-finden.html
DE,bank,Sparkasse Mainfranken Würzburg,Q2307545,partial,,,https://www.sparkasse-mainfranken.de/de/home/ihre-sparkasse/coronavirus-information.html,https://www.sparkasse-mainfranken.de/filialen
DE,bank,Sparkasse Nürnberg,Q2307586,partial,,,https://www.sparkasse-nuernberg.de/de/home/aktionen/informationen-zum-coronavirus.html,https://www.sparkasse-nuernberg.de/de/home/aktionen/informationen-zum-coronavirus/ak-gs-oeffnungsezeiten-corona.html
DE,bank,Sparkasse Paderborn-Detmold,Q2307609,partial,,,https://www.sparkasse-paderborn-detmold.de/de/home/aktionen/informationen-zum-coronavirus.html,https://www.sparkasse-paderborn-detmold.de/de/home/toolbar/filialen.html
DE,bank,Sparkasse Pforzheim Calw,Q2307618,partial,,,https://www.sparkasse-pforzheim-calw.de/de/home/aktionen/informationen-zum-coronavirus.html,https://www.sparkasse-pforzheim-calw.de/de/home/toolbar/filialen.html
DE,bank,Sparkasse Saarbrücken,Q2307655,partial,,,https://www.sparkasse-saarbruecken.de/de/home/aktionen/informationen-zum-coronavirus.html,https://www.sparkasse-saarbruecken.de/de/home/service/filiale-finden.html
DE,bank,Sparkasse Schweinfurt-Haßberge,Q2307665,partial,,,https://www.sparkasse-sw-has.de/de/home/aktionen/informationen-zum-coronavirus.html,https://www.sparkasse-sw-has.de/de/home/toolbar/filialen.html
DE,bank,Sparkasse Ulm,Q18630954,partial,,,https://www.sparkasse-ulm.de/de/home/ihre-sparkasse/coronavirus.html,https://www.sparkasse-ulm.de/de/home/service/filiale-finden.html
DE,bank,Sparkasse Vorpommern,Q2307709,partial,,,https://www.spk-vorpommern.de/de/home/aktionen/corona.html,https://www.spk-vorpommern.de/de/home/aktionen/oeffnungszeiten_corona.html
DE,bank,Sparkasse Westmünsterland,Q1567929,partial,,,https://www.sparkasse-westmuensterland.de/de/home/aktionen/informationen-zum-coronavirus.html,https://www.sparkasse-westmuensterland.de/de/home/toolbar/filialen.html
DE,bank,Stadtsparkasse München,Q1438593,partial,,,https://www.sskm.de/de/home/aktionen/aktuelle-kundeninformation-coronavirus.html,https://www.sskm.de/de/home/service/filiale-finden.html
DE,bank,Volksbank Bühl,Q18397161,partial,,,,https://www.volksbank-buehl.de/ihre-volksbank/beratungscenter-ansprechpartner/beratungscenter/uebersicht-beratungscenter.html
DE,books,Hugendubel,Q1634142,closed,,,https://www.hugendubel.de/de/category/90701/filialen.html,
DE,books,Mayersche,Q1462383,closed,,,https://twitter.com/Mayersche/status/1240541647462699008,
DE,books,Osiander,Q1800686,partial,Mo-Sa 11:00-18:00,Nur Abholung.,https://www.osiander.de/service/abholung_versand.cfm,
DE,books,Pustet,Q1461605,closed,,,https://www.pustet.de/shop/magazine/49701/filialen_oeffnungszeiten.html,
DE,books,Rupprecht,Q89431762,closed,,,https://www.rupprecht.de/shop/magazine/148419/aktuelle_situation.html,
DE,books,Thalia,Q2408854,partial,Mo-Sa 10:00-13:00,Nur Abholung in ausgewählten Filialen.,https://www.thalia.de/shop/information/show/,
DE,books,Weltbild,Q883522,closed,,,https://www.weltbild.de/service/filialen,
DE,car_rental,Avis,Q791136,partial,,,https://www.avis.de/avis-coronavirus-advice,https://www.avis.de/avis-coronavirus-advice
DE,car_rental,Buchbinder,Q89432097,partial,,,https://www.buchbinder.de/de/coronavirus/,https://www.buchbinder.de/de/stationen/
DE,car_rental,Enterprise,Q17085454,partial,,,https://www.enterprise.de/de/hilfe/notifications/advisory.html,https://www.enterprise.de/de/autovermietung/standorte/deutschland.html
DE,car_rental,Europcar,Q1376256,partial,,,https://www.europcar.de/wichtige-informationen,https://www.europcar.de/standorte
DE,car_rental,Hertz,Q1543874,partial,,,https://www.hertz.de/rentacar/misc/index.jsp?targetPage=coronavirus_travel_safety_tips.xml,https://www.hertz.de/rentacar/location
DE,car_rental,Sixt,Q705664,partial,,,https://www.sixt.de/magazine/news/aktuelle-informationen-zum-coronavirus-covid-19/,https://www.sixt.de/mietwagen/
DE,car_repair,A.T.U,Q784721,closed,,,https://www.atu.de/pages/corona.html,
DE,car_repair,Carglass,Q1035997,open,,,https://www.carglass.de/corona,https://www.carglass.de/standorte
DE,car_repair,Pitstop,Q1310014,open,,,https://www.pitstop.de/,
DE,chemist,dm,Q266572,open_adapted,,,https://www.dm.de/fuereinander/,https://www.dm.de/store/
DE,chemist,Müller,Q1958759,open,,,https://www.mueller.de/aktuelles/aktuelle-information/,https://www.mueller.de/meine-filiale/
DE,chemist,Rossmann,Q316004,open,,,https://www.rossmann.de/de/das-wir-zaehlt,https://www.rossmann.de/de/filialen/index.html
DE,doityourself,Bauhaus,Q672043,partial,,,https://www.bauhaus.info/aktuelle-lage,https://www.bauhaus.info/aktuelle-lage/fachcentren
DE,doityourself,BayWa,Q812055,partial,,,https://www.baywa-baumarkt.de/cms/de/LP/aktuelle-situation-bei-baywa.htm,https://www.baywa-baumarkt.de/cms/de/Standorte.htm
DE,doityourself,Globus Baumarkt,Q457503,partial,,,https://www.globus-baumarkt.de/aktuelle-infos/#maerkte,https://www.globus-baumarkt.de/
DE,doityourself,Hagebau,Q1568279,partial,,,https://www.hagebau.de/marktfinder/,https://www.hagebau.de/marktfinder/
DE,doityourself,Hornbach,Q685926,partial,,,https://www.hornbach.de/mein-markt/aktuelle-infos-zu-ihrem-einkauf-und-zur-lage/,https://www.hornbach.de/mein-markt/
DE,doityourself,OBI,Q300518,partial,,,https://www.obi.de/corona/markt-infos/,https://www.obi.de/corona/markt-infos/
DE,doityourself,toom Baumarkt,Q2442970,partial,,,https://toom.de/aktionen/aktuelle-informationen/,https://toom.de/aktionen/aktuelle-informationen/
DE,fuel,Agip,Q377915,open,,,,https://stationfinder.agipstation.de/
DE,fuel,Aral,Q565734,open,,,https://www.aral.de/de/global/retail/ueber-aral/wir-sind-fuer-sie-da.html,https://mein.aral.de/tankstellenfinder
DE,fuel,Avia,Q300147,open,,,,https://www.avia.de/avia-tanken/tankstellen/tankstellen-suche.html
DE,fuel,bft,Q1009104,partial,,,,https://www.bft.de/tankstellenfinder
DE,fuel,Classic,Q33127117,open,,,,https://classic-oil.de/tankstellen/unsere-tankstellen/
DE,fuel,Esso,Q867662,open,,,https://www.esso.de/coronavirus,https://www.esso.de/stations
DE,fuel,HEM,Q1563517,open,,,,https://www.hem-tankstelle.de/produkteundservices/tankstellenfinder
DE,fuel,Hoyer,Q1606119,open,,,,https://www.hoyer-tankstellen.de/tankstellen
DE,fuel,Jet,Q568940,open,,,https://www.jet-tankstellen.de/,https://www.jet-tankstellen.de/kraftstoff/filialfinder/
DE,fuel,OMV,Q168238,open,,,https://www.omv.de/de-de/tankstellen/fur-sie-da,https://www.omv.de/de-de/tankstellen/tankstellenfinder
DE,fuel,Q1,Q2121146,open,,,,https://www.q1.eu/de/tankstellen/tankstellenfinder
DE,fuel,Raiffeisen,,open,,,,https://www.raiffeisentankstelle.de/standorte/suche/
DE,fuel,Shell,Q154950,open_adapted,,,https://www.shell.de/covid19/shell-tankstellen-bleiben-weitgehend-geoeffnet.html,https://www.shell.de/autofahrer/shell-station-locator.html
DE,fuel,star,Q89432390,open,,,https://www.star.de/187/corona-virus-aktuelle-informationen/,https://www.star.de/service/tankstellenfinder
DE,fuel,Total,Q154037,open,,,https://www.total.de/,https://www.total.de/tankstellen/tankstellenfinder
DE,fuel,Westfalen,Q1411209,open,,,,https://westfalen.com/de/de/tankstellen-mobilitaet/
DE,garden_centre,Dehner,Q1183029,partial,,,https://www.dehner.de/aktuelle-informationen/,https://www.dehner.de/market/
DE,garden_centre,Raiffeisen-Markt,,open,,,,https://www.raiffeisenmarkt.de/AjaxStoreLocatorDisplayView?catalogId=10051&langId=-3&storeId=10151
DE,garden_centre,ZG Raiffeisen,Q136135,open,,,https://www.zg-raiffeisen.de/maerkte/news/zg-raiffeisen-niederlassungen-trotz-krise-geoeffnet,https://www.zg-raiffeisen.de/maerkte
DE,optician,Apollo Optik,Q618940,partial,,,https://www.apollo.de/lp/corona-information,https://filialen.apollo.de/
DE,optician,Fielmann,Q457822,partial,,,https://www.fielmann.de/,https://www.fielmann.de/niederlassungen/
DE,stationery,McPaper,Q1915329,partial,,,,
DE,stationery,Staples,Q785943,partial,,,https://www.staples.de/Content/Static/corona-information/coronainformation.cshtml,https://www.staples.de/Content/Static/corona-information/coronainformation.cshtml
DE,supermarket,Aldi Nord,Q125054,open,,,https://www.aldi-nord.de/tools/rueckrufe/hinweis-filialoeffnung.html,https://www.aldi-nord.de/tools/filialen-und-oeffnungszeiten.html
DE,supermarket,Aldi,,open,,,,
DE,supermarket,Aldi Süd,Q41171672,open,,,https://www.aldi-sued.de/de/infos/gemeinsam-geht-alles/,https://www.aldi-sued.de/filialen/
DE,supermarket,Alnatura,Q876811,open_adapted,,,https://www.alnatura.de/de-de/m%C3%A4rkte/gemeinsamfueralle,https://www.alnatura.de/de-de/m%C3%A4rkte/filialfinder
DE,supermarket,Basic,Q809994,open_adapted,,,https://basicbio.de/,https://basicbio.de/de-DE/Maerkte
DE,supermarket,Bio Company,Q864179,open_adapted,,,https://www.biocompany.de/neuigkeiten/hinweise.html,https://www.biocompany.de/bio-company-markt-finden/
DE,supermarket,Combi,Q1113618,open,,,https://www.combi.de/,https://www.combi.de/UnsereMaerkte/Marktsuche
DE,supermarket,denn's Biomarkt,Q48883773,open_adapted,,,,https://www.denns-biomarkt.de/
DE,supermarket,EDEKA,Q701755,open,,,https://www.edeka.de/,https://www.edeka.de/marktsuche.jsp
DE,supermarket,Kaufland,Q685967,open,,,https://www.kaufland.de/,https://www.kaufland.de/service/filiale.html
DE,supermarket,Konsum Dresden,Q1618877,open_adapted,,,https://www.konsum.de/,https://www.konsum.de/konsum-frida/standorte-oeffnungszeiten/
DE,supermarket,Konsum Leipzig,Q1468147,open_adapted,,,https://www.konsum-leipzig.de/,https://www.konsum-leipzig.de/maerkte
DE,supermarket,LIDL,Q151954,open,,,https://www.lidl.de/,https://www.lidl.de/de/filialsuche/
DE,supermarket,Markant,Q57523365,open_adapted,,,,https://www.mein-markant.de/mein-markt/unsere-maerkte/
DE,supermarket,Marktkauf,Q1533254,open_adapted,,,,https://marktkauf.de/market-locator
DE,supermarket,Metro,Q169167,open,,,,https://www.metro.de/standorte/
DE,supermarket,Nahkauf,Q57515238,open,,,https://www.rewe.de/auf-uns-ist-verlass/,https://www.nahkauf.de/maerkte
DE,supermarket,Netto Marken-Discount,Q879858,open,,,https://www.netto-online.de/ueber-netto/Wichtige-Information.chtm,https://www.netto-online.de/filialfinder
DE,supermarket,Netto,Q552652,open_adapted,,,https://netto.de/,https://netto.de/marktsuche/
DE,supermarket,Norma,Q450180,open,,,https://www.norma-online.de/de/angebote/,https://www.norma-online.de/de/filialfinder/
DE,supermarket,Penny,Q284688,open,,,https://www.penny.de/unternehmen/info-zum-corona-virus/,https://www.penny.de/marktsuche/
DE,supermarket,real,Q698473,open_adapted,,,https://www.real.de/markt/,https://www.real.de/markt/
DE,supermarket,REWE,Q16968817,open,,,https://www.rewe.de/auf-uns-ist-verlass,https://www.rewe.de/marktseite/
DE,supermarket,tegut,Q1547993,open_adapted,,,https://www.tegut.com/newsticker-corona,https://www.tegut.com/maerkte.html
DE,supermarket,Wasgau,Q2536857,open_adapted,,,,https://wasgau-ag.de/wasgau-frischemarkt/
ES,bag,Carpisa,Q28035409,closed,,,,
ES,bag,Samsonite,Q1203426,closed,,,,
ES,bank,ABANCA,Q9598744,open,,Un cliente por empleado,https://www.abanca.com/es/cuidemonos/,
ES,bank,Banca March,Q578252,open,,,https://www.bancamarch.es/es/conexion,
ES,bank,Banco Pastor,Q806193,partial,Mo-Fr 08:15-14.00,,https://www.bancosantander.es/es/oficinas-operativas?campana=comunicacion_oficinas&origen=home_particulares&posicion=banner_destacado&contenido=lupa,
ES,bank,Banco Popular,Q537259,partial,Mo-Fr 08:30-14:30,,https://www.bancosantander.es/es/oficinas-operativas?campana=comunicacion_oficinas&origen=home_particulares&posicion=banner_destacado&contenido=lupa,
ES,bank,Banco Sabadell,Q762330,open,Mo-Fr 08:15-14.00,,https://www.bancsabadell.com/cs/Satellite/SabAtl/Oficines/1191332199103/es/#,
ES,bank,Banco Santander,Q6496310,partial,Mo-Fr 08:30-14:30,,https://www.bancosantander.es/es/oficinas-operativas?campana=comunicacion_oficinas&origen=home_particulares&posicion=banner_destacado&contenido=lupa,
ES,bank,Banesco,Q4854841,open,,Un cliente por empleado,https://www.abanca.com/es/cuidemonos/,
ES,bank,Bankia,Q806807,open,Mo-Fr 08:15-14:15,,https://www.bankia.es/es/particulares/oficinas-y-cajeros,
ES,bank,Bankinter,Q806808,partial,,"Banca Online, cajeros, sólo algunas oficinas abiertas",https://bancaonline.bankinter.com/publico/buscador_oficinas_cajeros.xhtml,
ES,bank,Barclays,Q245343,partial,Mo-Fr 8.30-14.30,algunas oficinas cerradas,https://www2.caixabank.es/apl/localizador/caixamaps/index_es.html,
ES,bank,BBVA,Q806189,open,Mo-Fr 08:30-14:15,,https://www.bbva.es/general/localizador-oficinas-cajeros/index.jsp,
ES,bank,BBVA Compass,Q4835088,open,Mo-Fr 08:30-14:15,,https://www.bbva.es/general/localizador-oficinas-cajeros/index.jsp,
ES,bank,BMN,Q3754900,open,Mo-Fr 08:15-14:15,,https://www.bankia.es/es/particulares/oficinas-y-cajeros,
ES,bank,Caixa Geral,Q1026044,open,,Un cliente por empleado,https://www.abanca.com/es/cuidemonos/,
ES,bank,Caixabank,Q847225,partial,Mo-Fr 8:30-14:30,algunas oficinas cerradas,https://www2.caixabank.es/apl/localizador/caixamaps/index_es.html,
ES,bank,Caixabank,Q287753,partial,Mo-Fr 8:30-14:30,algunas oficinas cerradas,https://www2.caixabank.es/apl/localizador/caixamaps/index_es.html,
ES,bank,Caja Rural,Q3649971,open,Mo-Fr 8:30-14:00,,http://www.cajaruraldeasturias.com/cms/estatico/rvia/asturias/ruralvia/es/particulares/campanas/2020/Covid19/covid19.html,
ES,bank,Cajamar,Q8254971,open_adapted,Mo-Fr 09:00-13:00,,https://www.cajamar.es/es/comun/,
ES,bank,CajaSur,Q3751637,partial,Mo-Fr 8:30-14:30,Algunas oficinas cerradas,https://portal.cajasur.es/cs/Satellite/cajasur/es/particulares-0/oficinas-y-cajeros-0,
ES,bank,CatalunyaCaixa,Q3750952,open_adapted,Mo-Fr 08:30-14:15,,https://www.bbva.es/general/localizador-oficinas-cajeros/index.jsp,
ES,bank,Deutsche Bank,Q66048,open_adapted,Mo-Fr 8:30-14:15,,https://www.db.com/spain/es/content/3817.html,
ES,bank,Ibercaja,Q5907815,partial,Mo-Fr 08:15-14:00,Algunas oficinas cerradas,https://www.ibercaja.es/oficinas/,
ES,bank,ING,Q645708,partial,Mo-Fr 8:00-14:00,Algunas oficinas cerradas,https://www.ing.es/oficinas-cajeros/barcelona/oficina-diagonal,
ES,bank,Kutxabank,Q5139377,partial,Mo-Fr 8:30-14:00 ,Algunas oficinas cerradas,https://portal.kutxabank.es/cs/Satellite/kb/es/web/oficinas_y_cajeros,
ES,bank,Laboral Kutxa,Q12052386,open_adapted,Mo-Fr 8:30-11:00,Ruegan que se pida cita previa,https://www.laboralkutxa.com/es/particulares,
ES,bank,Liberbank,Q2891018,partial,,Algunas oficinas abiertas con cita previa,https://www.liberbank.es/cuidemonos-covid19,
ES,bank,Novo Banco,Q17488861,partial,Mo-Fr 08:30-14:00,Algunas oficinas cerradas,https://www.novobanco.es/site/cms.aspx?labelid=RedOficinas,
ES,bank,Popular,Q7229656,partial,Mo-Fr 08:30-14:30,,https://www.bancosantander.es/es/oficinas-operativas?campana=comunicacion_oficinas&origen=home_particulares&posicion=banner_destacado&contenido=lupa,
ES,bank,Santander,Q5835668,partial,Mo-Fr 08:30-14:30,,https://www.bancosantander.es/es/oficinas-operativas?campana=comunicacion_oficinas&origen=home_particulares&posicion=banner_destacado&contenido=lupa,
ES,bank,Targobank,Q1455437,open,Mo-Fr 08:30-14:00,,https://www.targobank.es/es/particulares/proteger/coronavirusylaspersonas.html,
ES,bank,Unicaja Banco,Q2543704,partial,,,https://www.unicajabanco.com/es/informacion-sobre-acceso-a-canales-y-servicios,
ES,bank,Unicaja Banco,Q3821055,partial,,,https://www.unicajabanco.com/es/informacion-sobre-acceso-a-canales-y-servicios,
ES,bank,Unicaja Banco,Q966985,partial,,,https://www.unicajabanco.com/es/informacion-sobre-acceso-a-canales-y-servicios,
ES,beauty,Yves Rocher,Q28496595,closed,,,,
ES,bicycle,Trek,Q1067617,closed,,,,
ES,books,Fnac,Q676585,closed,,,https://www.diarimes.com/es/noticias/actualidad/2020/03/14/fnac_cierra_todas_las_tiendas_del_estado_por_coronavirus_78329_1095.html,
ES,cafe,Costa,Q608845,closed,,,,
ES,cafe,Le Pain Quotidien,Q2046903,closed,,,,
ES,cafe,Starbucks,Q37158,closed,,,,
ES,cafe,Tim Hortons,Q175106,closed,,,,
ES,car,Audi,Q23317,closed,,,,
ES,car,BMW,Q26678,closed,,,,
ES,car,Dacia,Q27460,closed,,,,
ES,car,Fiat,Q27597,closed,,,,
ES,car,Hyundai,Q55931,closed,,,,
ES,car,Jeep,Q30113,closed,,,,
ES,car,Kia,Q35349,closed,,,,
ES,car,Land Rover,Q35907,closed,,,,
ES,car,Lexus,Q35919,closed,,,,
ES,car,Mazda,Q35996,closed,,,,
ES,car,Mercedes-Benz,Q36008,closed,,,,
ES,car,Mitsubishi,Q36033,closed,,,,
ES,car,Nissan,Q20165,closed,,,,
ES,car,Opel,Q40966,closed,,,,
ES,car,Peugeot,Q6742,closed,,,,
ES,car,Porsche,Q40993,closed,,,,
ES,car,Renault,Q6686,closed,,,,
ES,car,Seat Sala Rodriguez Alicante,Q188217,closed,,,,
ES,car,Skoda,Q29637,closed,,,,
ES,car,Subaru,Q172741,closed,,,,
ES,car,Toyota,Q53268,closed,,,,
ES,car,Volkswagen Sala Hermanos Alicante,Q246,closed,,,,
ES,car,Volvo,Q215293,closed,,,,
ES,car_rental,Avis,Q791136,partial,,,https://www.avis.es/avis-coronavirus-advice,
ES,car_rental,Budget,Q1001437,partial,,,https://www.budget.es/aviso-clientes-budget-sobre-coronavirus,
ES,car_rental,Enterprise,Q17085454,partial,,,https://www.enterprise.es/es/ayuda/notifications/branch-closure-notification.html#,
ES,car_rental,Europcar,Q1376256,partial,,,https://www.europcar.es/informacionimportante/covid,
ES,car_rental,Hertz,Q1543874,partial,,,https://www.hertz.es/rentacar/misc/index.jsp?targetPage=coronavirus_travel_safety_tips.xml,
ES,car_rental,Sixt,Q705664,partial,,"Solo abiertas oficinas localizadas en los aeropuertos de Barcelona, Madrid y Málaga",https://www.sixt.es/magazine/novedades/informacion-actual-viajes/,
ES,car_repair,Carglass,Q1035997,closed,,,https://www.infotaller.tv/chapa_y_pintura/Carglass-suma-centros-cierran-coronavirus_0_1420357961.html,
ES,car_repair,Citroën,Q6746,partial,,Algunas oficinas abiertas,https://www.citroen.es/citroen-y-tu/red-oficial-citroen.html,
ES,car_repair,Euromaster,Q3060668,partial,,,https://www.euromaster-neumaticos.es/coronavirus,
ES,car_repair,Feu Vert,Q3070922,closed,,,,
ES,car_repair,First Stop,Q3072965,partial,,Algunas oficinas abiertas,https://www.firststop.es/es/abiertosdemaneraextrordinaria?fbclid=IwAR1WNK_pGY2QVYKUAwWmPiiMj6bFgwl73HF7KfrZ0-hLOEXqpLDjpMVS_PY,
ES,car_repair,Ford,Q44294,partial,,Algunas oficinas abiertas,https://www.ford.es/informacion-util/covid-19,
ES,car_repair,Midas,Q3312613,closed,,,https://www.midas.es/purchase-guides/quedateencasa,
ES,car_repair,Norauto,Q3317698,closed,,,,
ES,charging_station,ChargePoint,Q5176149,open,,Potencia reducida,https://es.chargepoint.com/charge_point,
